source,name,normalized,url
playlist 138.m3u8,26TV,26tv,http://138.59.227.20:8000/play/a05x/index.m3u8
playlist 138.m3u8,A&E HD,a&e,http://138.59.227.20:8000/play/a09h/index.m3u8
playlist 138.m3u8,A24,a24,http://138.59.227.20:8000/play/a05u/index.m3u8
playlist 138.m3u8,ABC TV,abc tv,http://138.59.227.20:8000/play/a0g6/index.m3u8
playlist 138.m3u8,AM Sports,am sports,http://138.59.227.20:8000/play/a061/index.m3u8
playlist 138.m3u8,AMC,amc,http://138.59.227.20:8000/play/a064/index.m3u8
playlist 138.m3u8,AXN HD,axn,http://138.59.227.20:8000/play/a09e/index.m3u8
playlist 138.m3u8,Adult swim HD,adult swim,http://138.59.227.20:8000/play/a08d/index.m3u8
playlist 138.m3u8,Albirroja Tv,albirroja tv,http://138.59.227.20:8000/play/a0dx/index.m3u8
playlist 138.m3u8,America TV HD,america tv,http://138.59.227.20:8000/play/a094/index.m3u8
playlist 138.m3u8,Azteca Deportes,azteca deportes,http://138.59.227.20:8000/play/a0h0/index.m3u8
playlist 138.m3u8,Baby TV,baby tv,http://138.59.227.20:8000/play/a06j/index.m3u8
playlist 138.m3u8,Bruno Masi Tv,bruno masi tv,http://138.59.227.20:8000/play/a0gg/index.m3u8
playlist 138.m3u8,C5N,c5n,http://138.59.227.20:8000/play/a05v/index.m3u8
playlist 138.m3u8,C9N Digital,c9n digital,http://138.59.227.20:8000/play/a0e6/index.m3u8
playlist 138.m3u8,C9N HD,c9n,http://138.59.227.20:8000/play/a0fy/index.m3u8
playlist 138.m3u8,CAMARA Camboriu,camara camboriu,http://138.59.227.20:8000/play/a0fw/index.m3u8
playlist 138.m3u8,CNN en Espaæol,cnn en espaol,http://138.59.227.20:8000/play/a093/index.m3u8
playlist 138.m3u8,Cadena Master Tv,cadena master tv,http://138.59.227.20:8000/play/a0ez/index.m3u8
playlist 138.m3u8,Cambyreta Tv,cambyreta tv,http://138.59.227.20:8000/play/a0gd/index.m3u8
playlist 138.m3u8,Canal 8 Villarrica,canal 8 villarrica,http://138.59.227.20:8000/play/a0fu/index.m3u8
playlist 138.m3u8,Canal Extra,canal extra,http://138.59.227.20:8000/play/a0g9/index.m3u8
playlist 138.m3u8,Canal a,canal a,http://138.59.227.20:8000/play/a06d/index.m3u8
playlist 138.m3u8,Canal de la Ciudad,canal de la ciudad,http://138.59.227.20:8000/play/a07c/index.m3u8
playlist 138.m3u8,Cartoon Network HD,cartoon network,http://138.59.227.20:8000/play/a083/index.m3u8
playlist 138.m3u8,Cine.AR,cinear,http://138.59.227.20:8000/play/a069/index.m3u8
playlist 138.m3u8,Cinecanal HD,cinecanal,http://138.59.227.20:8000/play/a089/index.m3u8
playlist 138.m3u8,Cinemax,cinemax,http://138.59.227.20:8000/play/a08r/index.m3u8
playlist 138.m3u8,Comedy Central HD,comedy central,http://138.59.227.20:8000/play/a072/index.m3u8
playlist 138.m3u8,Cosmos HD,cosmos,http://138.59.227.20:8000/play/a0ek/index.m3u8
playlist 138.m3u8,Crðnica,crnica,http://138.59.227.20:8000/play/a05w/index.m3u8
playlist 138.m3u8,DeporTV,deportv,http://138.59.227.20:8000/play/a07f/index.m3u8
playlist 138.m3u8,DirecTv Sports,directv sports,http://138.59.227.20:8000/play/a0ft/index.m3u8
playlist 138.m3u8,Discovery Channel HD,discovery channel,http://138.59.227.20:8000/play/a08g/index.m3u8
playlist 138.m3u8,Discovery H&H HD,discovery h&h,http://138.59.227.20:8000/play/a08f/index.m3u8
playlist 138.m3u8,Discovery Kids,discovery kids,http://138.59.227.20:8000/play/a07r/index.m3u8
playlist 138.m3u8,Discovery Science,discovery science,http://138.59.227.20:8000/play/a06p/index.m3u8
playlist 138.m3u8,Discovery Theater HD,discovery theater,http://138.59.227.20:8000/play/a074/index.m3u8
playlist 138.m3u8,Discovery Turbo,discovery turbo,http://138.59.227.20:8000/play/a062/index.m3u8
playlist 138.m3u8,Discovery World HD,discovery world,http://138.59.227.20:8000/play/a076/index.m3u8
playlist 138.m3u8,Disney Channel HD,disney channel,http://138.59.227.20:8000/play/a06w/index.m3u8
playlist 138.m3u8,Disney Junior,disney junior,http://138.59.227.20:8000/play/a08x/index.m3u8
playlist 138.m3u8,E! Entertainment,e entertainment,http://138.59.227.20:8000/play/a08z/index.m3u8
playlist 138.m3u8,E40 DIGITAL,e40 digital,http://138.59.227.20:8000/play/a0fp/index.m3u8
playlist 138.m3u8,ESPN 2 HD,espn 2,http://138.59.227.20:8000/play/a098/index.m3u8
playlist 138.m3u8,ESPN 3 HD,espn 3,http://138.59.227.20:8000/play/a09a/index.m3u8
playlist 138.m3u8,ESPN 4 HD,espn 4,http://138.59.227.20:8000/play/a084/index.m3u8
playlist 138.m3u8,ESPN HD,espn,http://138.59.227.20:8000/play/a099/index.m3u8
playlist 138.m3u8,ESPN Premium HD,espn premium,http://138.59.227.20:8000/play/a086/index.m3u8
playlist 138.m3u8,EWTN,ewtn,http://138.59.227.20:8000/play/a0g0/index.m3u8
playlist 138.m3u8,EWTN HD,ewtn,http://138.59.227.20:8000/play/a0fv/index.m3u8
playlist 138.m3u8,El Canal  de las Estrellas,el canal  de las estrellas,http://138.59.227.20:8000/play/a07x/index.m3u8
playlist 138.m3u8,El Gourmet,el gourmet,http://138.59.227.20:8000/play/a07u/index.m3u8
playlist 138.m3u8,Encuentro,encuentro,http://138.59.227.20:8000/play/a05s/index.m3u8
playlist 138.m3u8,Europa Europa,europa europa,http://138.59.227.20:8000/play/a07t/index.m3u8
playlist 138.m3u8,FX HD,fx,http://138.59.227.20:8000/play/a070/index.m3u8
playlist 138.m3u8,Farra Play Tv,farra play tv,http://138.59.227.20:8000/play/a0gj/index.m3u8
playlist 138.m3u8,Film & Arts HD,film & arts,http://138.59.227.20:8000/play/a075/index.m3u8
playlist 138.m3u8,Fox Sports 2 HD,fox sports 2,http://138.59.227.20:8000/play/a09b/index.m3u8
playlist 138.m3u8,Fox Sports 3 HD,fox sports 3,http://138.59.227.20:8000/play/a06y/index.m3u8
playlist 138.m3u8,Fox Sports HD,fox sports,http://138.59.227.20:8000/play/a085/index.m3u8
playlist 138.m3u8,Foz de Yguazu,foz de yguazu,http://138.59.227.20:8000/play/a0gv/index.m3u8
playlist 138.m3u8,Futbol Total,futbol total,http://138.59.227.20:8000/play/a0fs/index.m3u8
playlist 138.m3u8,GEN HD,gen,http://138.59.227.20:8000/play/a0fk/index.m3u8
playlist 138.m3u8,GEN HD2,gen hd2,http://138.59.227.20:8000/play/a0ej/index.m3u8
playlist 138.m3u8,Galicia TV,galicia tv,http://138.59.227.20:8000/play/a06v/index.m3u8
playlist 138.m3u8,Guaira Tv,guaira tv,http://138.59.227.20:8000/play/a0ga/index.m3u8
playlist 138.m3u8,HBO,hbo,http://138.59.227.20:8000/play/a07m/index.m3u8
playlist 138.m3u8,HBO 2,hbo 2,http://138.59.227.20:8000/play/a07o/index.m3u8
playlist 138.m3u8,HBO Family,hbo family,http://138.59.227.20:8000/play/a07p/index.m3u8
playlist 138.m3u8,HBO Mundi,hbo mundi,http://138.59.227.20:8000/play/a06f/index.m3u8
playlist 138.m3u8,HBO Plus,hbo plus,http://138.59.227.20:8000/play/a07n/index.m3u8
playlist 138.m3u8,HBO Signature,hbo signature,http://138.59.227.20:8000/play/a06h/index.m3u8
playlist 138.m3u8,HBO Xtreme,hbo xtreme,http://138.59.227.20:8000/play/a06g/index.m3u8
playlist 138.m3u8,HGTV,hgtv,http://138.59.227.20:8000/play/a06o/index.m3u8
playlist 138.m3u8,HTV,htv,http://138.59.227.20:8000/play/a06t/index.m3u8
playlist 138.m3u8,History 2,history 2,http://138.59.227.20:8000/play/a06n/index.m3u8
playlist 138.m3u8,History Channel,history channel,http://138.59.227.20:8000/play/a090/index.m3u8
playlist 138.m3u8,La Nacion TV,la nacion tv,http://138.59.227.20:8000/play/a05y/index.m3u8
playlist 138.m3u8,Latele Digital,latele digital,http://138.59.227.20:8000/play/a0fi/index.m3u8
playlist 138.m3u8,Latele HD,latele,http://138.59.227.20:8000/play/a0fg/index.m3u8
playlist 138.m3u8,Latina Tv,latina tv,http://138.59.227.20:8000/play/a0gz/index.m3u8
playlist 138.m3u8,Lifetime,lifetime,http://138.59.227.20:8000/play/a07l/index.m3u8
playlist 138.m3u8,MTV,mtv,http://138.59.227.20:8000/play/a06r/index.m3u8
playlist 138.m3u8,Maria Vision Tv,maria vision tv,http://138.59.227.20:8000/play/a0f7/index.m3u8
playlist 138.m3u8,Mbocayaty Tv,mbocayaty tv,http://138.59.227.20:8000/play/a0gk/index.m3u8
playlist 138.m3u8,Mega Tv HD,mega tv,http://138.59.227.20:8000/play/a0g8/index.m3u8
playlist 138.m3u8,Metro,metro,http://138.59.227.20:8000/play/a06l/index.m3u8
playlist 138.m3u8,Monumental Tv Digital,monumental tv digital,http://138.59.227.20:8000/play/a0fr/index.m3u8
playlist 138.m3u8,Motor Sur Media,motor sur media,http://138.59.227.20:8000/play/a0do/index.m3u8
playlist 138.m3u8,NPY HD,npy,http://138.59.227.20:8000/play/a0fm/index.m3u8
playlist 138.m3u8,Nanduti Tv,nanduti tv,http://138.59.227.20:8000/play/a0eq/index.m3u8
playlist 138.m3u8,Nat Geo HD,nat geo,http://138.59.227.20:8000/play/a09f/index.m3u8
playlist 138.m3u8,Natalicio Tv,natalicio tv,http://138.59.227.20:8000/play/a0dh/index.m3u8
playlist 138.m3u8,Next Tv,next tv,http://138.59.227.20:8000/play/a0dp/index.m3u8
playlist 138.m3u8,Nick Jr,nick jr,http://138.59.227.20:8000/play/a07s/index.m3u8
playlist 138.m3u8,Nickelodeon,nickelodeon,http://138.59.227.20:8000/play/a08y/index.m3u8
playlist 138.m3u8,Nuevo Tiempo,nuevo tiempo,http://138.59.227.20:8000/play/a0en/index.m3u8
playlist 138.m3u8,Obedira Tv HD,obedira tv,http://138.59.227.20:8000/play/a0g2/index.m3u8
playlist 138.m3u8,POPU TV HD,popu tv,http://138.59.227.20:8000/play/a0fq/index.m3u8
playlist 138.m3u8,PRO TV HD,pro tv,http://138.59.227.20:8000/play/a0fn/index.m3u8
playlist 138.m3u8,Pakapaka,pakapaka,http://138.59.227.20:8000/play/a05t/index.m3u8
playlist 138.m3u8,Paraguari Tv,paraguari tv,http://138.59.227.20:8000/play/a0fz/index.m3u8
playlist 138.m3u8,Paraguay Tv,paraguay tv,http://138.59.227.20:8000/play/a0f8/index.m3u8
playlist 138.m3u8,Paramount HD,paramount,http://138.59.227.20:8000/play/a073/index.m3u8
playlist 138.m3u8,Paravision HD,paravision,http://138.59.227.20:8000/play/a0e4/index.m3u8
playlist 138.m3u8,Quiero Musica,quiero musica,http://138.59.227.20:8000/play/a06s/index.m3u8
playlist 138.m3u8,RAI Italia,rai italia,http://138.59.227.20:8000/play/a06u/index.m3u8
playlist 138.m3u8,RCC TV,rcc tv,http://138.59.227.20:8000/play/a0eu/index.m3u8
playlist 138.m3u8,RCC Tv,rcc tv,http://138.59.227.20:8000/play/a0gh/index.m3u8
playlist 138.m3u8,RPC Digital,rpc digital,http://138.59.227.20:8000/play/a0e3/index.m3u8
playlist 138.m3u8,RPC HD,rpc,http://138.59.227.20:8000/play/a0fl/index.m3u8
playlist 138.m3u8,RT en Espaæol,rt en espaol,http://138.59.227.20:8000/play/a07d/index.m3u8
playlist 138.m3u8,Radio Colmenar Tv,radio colmenar tv,http://138.59.227.20:8000/play/a0gf/index.m3u8
playlist 138.m3u8,Red Digital San Pedro,red digital san pedro,http://138.59.227.20:8000/play/a0ey/index.m3u8
playlist 138.m3u8,Red Digital San Pedro,red digital san pedro,http://138.59.227.20:8000/play/a0gi/index.m3u8
playlist 138.m3u8,Republica Tv Vca,republica tv vca,http://138.59.227.20:8000/play/a0gl/index.m3u8
playlist 138.m3u8,Rural,rural,http://138.59.227.20:8000/play/a06k/index.m3u8
playlist 138.m3u8,SNT,snt,http://138.59.227.20:8000/play/a0e7/index.m3u8
playlist 138.m3u8,SNT HD,snt,http://138.59.227.20:8000/play/a0e2/index.m3u8
playlist 138.m3u8,SNT IPTV,snt iptv,http://138.59.227.20:8000/play/a0h4/index.m3u8
playlist 138.m3u8,San Cristobal Tv,san cristobal tv,http://138.59.227.20:8000/play/a0ex/index.m3u8
playlist 138.m3u8,Sony HD,sony,http://138.59.227.20:8000/play/a09c/index.m3u8
playlist 138.m3u8,Sony Movies HD,sony movies,http://138.59.227.20:8000/play/a09j/index.m3u8
playlist 138.m3u8,Space HD,space,http://138.59.227.20:8000/play/a071/index.m3u8
playlist 138.m3u8,Star Channel HD,star channel,http://138.59.227.20:8000/play/a087/index.m3u8
playlist 138.m3u8,Studio Universal,studio universal,http://138.59.227.20:8000/play/a067/index.m3u8
playlist 138.m3u8,Suceso Tv,suceso tv,http://138.59.227.20:8000/play/a0gc/index.m3u8
playlist 138.m3u8,Sur Tv,sur tv,http://138.59.227.20:8000/play/a0e9/index.m3u8
playlist 138.m3u8,TCM,tcm,http://138.59.227.20:8000/play/a065/index.m3u8
playlist 138.m3u8,TLNovelas,tlnovelas,http://138.59.227.20:8000/play/a07y/index.m3u8
playlist 138.m3u8,TN HD,tn,http://138.59.227.20:8000/play/a097/index.m3u8
playlist 138.m3u8,TNT HD,tnt,http://138.59.227.20:8000/play/a08b/index.m3u8
playlist 138.m3u8,TNT Novelas HD,tnt novelas,http://138.59.227.20:8000/play/a08e/index.m3u8
playlist 138.m3u8,TNT Series HD,tnt series,http://138.59.227.20:8000/play/a08c/index.m3u8
playlist 138.m3u8,TNT Sports HD,tnt sports,http://138.59.227.20:8000/play/a06z/index.m3u8
playlist 138.m3u8,TV Publica HD,tv publica,http://138.59.227.20:8000/play/a095/index.m3u8
playlist 138.m3u8,TVE,tve,http://138.59.227.20:8000/play/a080/index.m3u8
playlist 138.m3u8,Teleclasica,teleclasica,http://138.59.227.20:8000/play/a0gu/index.m3u8
playlist 138.m3u8,Telefe HD,telefe,http://138.59.227.20:8000/play/a08a/index.m3u8
playlist 138.m3u8,Telefuturo Digital,telefuturo digital,http://138.59.227.20:8000/play/a0fh/index.m3u8
playlist 138.m3u8,Telefuturo HD,telefuturo,http://138.59.227.20:8000/play/a0ff/index.m3u8
playlist 138.m3u8,The History Channel HD,the history channel,http://138.59.227.20:8000/play/a09g/index.m3u8
playlist 138.m3u8,Tv Aire Oviedo,tv aire oviedo,http://138.59.227.20:8000/play/a0gb/index.m3u8
playlist 138.m3u8,Tv Aparecida,tv aparecida,http://138.59.227.20:8000/play/a0g5/index.m3u8
playlist 138.m3u8,Tv Eventos HD,tv eventos,http://138.59.227.20:8000/play/a0g4/index.m3u8
playlist 138.m3u8,Tv Max Oviedo,tv max oviedo,http://138.59.227.20:8000/play/a0ew/index.m3u8
playlist 138.m3u8,Tv Tropical Brasil,tv tropical brasil,http://138.59.227.20:8000/play/a0h2/index.m3u8
playlist 138.m3u8,TyC Sports HD,tyc sports,http://138.59.227.20:8000/play/a06x/index.m3u8
playlist 138.m3u8,USA Network,usa network,http://138.59.227.20:8000/play/a068/index.m3u8
playlist 138.m3u8,Unicanal,unicanal,http://138.59.227.20:8000/play/a0e8/index.m3u8
playlist 138.m3u8,Unicanal HD,unicanal,http://138.59.227.20:8000/play/a0dy/index.m3u8
playlist 138.m3u8,Union Tv,union tv,http://138.59.227.20:8000/play/a0gm/index.m3u8
playlist 138.m3u8,Universal HD,universal,http://138.59.227.20:8000/play/a09i/index.m3u8
playlist 138.m3u8,Venus Tv,venus tv,http://138.59.227.20:8000/play/a0fc/index.m3u8
playlist 138.m3u8,Volver,volver,http://138.59.227.20:8000/play/a066/index.m3u8
playlist 138.m3u8,Warner Channel HD,warner channel,http://138.59.227.20:8000/play/a09d/index.m3u8
playlist 138.m3u8,Yguazu Tv,yguazu tv,http://138.59.227.20:8000/play/a0ge/index.m3u8
playlist 138.m3u8,ciudad magazine,ciudad magazine,http://138.59.227.20:8000/play/a06m/index.m3u8
playlist 138.m3u8,el nueve HD,el nueve,http://138.59.227.20:8000/play/a08k/index.m3u8
playlist 138.m3u8,el trece HD,el trece,http://138.59.227.20:8000/play/a07b/index.m3u8
