source,name,url
playlist 138.m3u8,26TV,http://138.59.227.20:8000/play/a05x/index.m3u8
playlist 138.m3u8,A&E HD,http://138.59.227.20:8000/play/a09h/index.m3u8
playlist 138.m3u8,A24,http://138.59.227.20:8000/play/a05u/index.m3u8
playlist 138.m3u8,ABC TV,http://138.59.227.20:8000/play/a0g6/index.m3u8
playlist 138.m3u8,AM Sports,http://138.59.227.20:8000/play/a061/index.m3u8
playlist 138.m3u8,AMC,http://138.59.227.20:8000/play/a064/index.m3u8
playlist 138.m3u8,AXN HD,http://138.59.227.20:8000/play/a09e/index.m3u8
playlist 138.m3u8,Adult swim HD,http://138.59.227.20:8000/play/a08d/index.m3u8
playlist 138.m3u8,Albirroja Tv,http://138.59.227.20:8000/play/a0dx/index.m3u8
playlist 138.m3u8,America TV HD,http://138.59.227.20:8000/play/a094/index.m3u8
playlist 138.m3u8,Azteca Deportes,http://138.59.227.20:8000/play/a0h0/index.m3u8
playlist 138.m3u8,Baby TV,http://138.59.227.20:8000/play/a06j/index.m3u8
playlist 138.m3u8,Bruno Masi Tv,http://138.59.227.20:8000/play/a0gg/index.m3u8
playlist 138.m3u8,C5N,http://138.59.227.20:8000/play/a05v/index.m3u8
playlist 138.m3u8,C9N Digital,http://138.59.227.20:8000/play/a0e6/index.m3u8
playlist 138.m3u8,C9N HD,http://138.59.227.20:8000/play/a0fy/index.m3u8
playlist 138.m3u8,CAMARA Camboriu,http://138.59.227.20:8000/play/a0fw/index.m3u8
playlist 138.m3u8,CNN en Espaæol,http://138.59.227.20:8000/play/a093/index.m3u8
playlist 138.m3u8,Cadena Master Tv,http://138.59.227.20:8000/play/a0ez/index.m3u8
playlist 138.m3u8,Cambyreta Tv,http://138.59.227.20:8000/play/a0gd/index.m3u8
playlist 138.m3u8,Canal 8 Villarrica,http://138.59.227.20:8000/play/a0fu/index.m3u8
playlist 138.m3u8,Canal Extra,http://138.59.227.20:8000/play/a0g9/index.m3u8
playlist 138.m3u8,Canal a,http://138.59.227.20:8000/play/a06d/index.m3u8
playlist 138.m3u8,Canal de la Ciudad,http://138.59.227.20:8000/play/a07c/index.m3u8
playlist 138.m3u8,Cartoon Network HD,http://138.59.227.20:8000/play/a083/index.m3u8
playlist 138.m3u8,Cine.AR,http://138.59.227.20:8000/play/a069/index.m3u8
playlist 138.m3u8,Cinecanal HD,http://138.59.227.20:8000/play/a089/index.m3u8
playlist 138.m3u8,Cinemax,http://138.59.227.20:8000/play/a08r/index.m3u8
playlist 138.m3u8,Comedy Central HD,http://138.59.227.20:8000/play/a072/index.m3u8
playlist 138.m3u8,Cosmos HD,http://138.59.227.20:8000/play/a0ek/index.m3u8
playlist 138.m3u8,Crðnica,http://138.59.227.20:8000/play/a05w/index.m3u8
playlist 138.m3u8,DeporTV,http://138.59.227.20:8000/play/a07f/index.m3u8
playlist 138.m3u8,DirecTv Sports,http://138.59.227.20:8000/play/a0ft/index.m3u8
playlist 138.m3u8,Discovery Channel HD,http://138.59.227.20:8000/play/a08g/index.m3u8
playlist 138.m3u8,Discovery H&H HD,http://138.59.227.20:8000/play/a08f/index.m3u8
playlist 138.m3u8,Discovery Kids,http://138.59.227.20:8000/play/a07r/index.m3u8
playlist 138.m3u8,Discovery Science,http://138.59.227.20:8000/play/a06p/index.m3u8
playlist 138.m3u8,Discovery Theater HD,http://138.59.227.20:8000/play/a074/index.m3u8
playlist 138.m3u8,Discovery Turbo,http://138.59.227.20:8000/play/a062/index.m3u8
playlist 138.m3u8,Discovery World HD,http://138.59.227.20:8000/play/a076/index.m3u8
playlist 138.m3u8,Disney Channel HD,http://138.59.227.20:8000/play/a06w/index.m3u8
playlist 138.m3u8,Disney Junior,http://138.59.227.20:8000/play/a08x/index.m3u8
playlist 138.m3u8,E! Entertainment,http://138.59.227.20:8000/play/a08z/index.m3u8
playlist 138.m3u8,E40 DIGITAL,http://138.59.227.20:8000/play/a0fp/index.m3u8
playlist 138.m3u8,ESPN 2 HD,http://138.59.227.20:8000/play/a098/index.m3u8
playlist 138.m3u8,ESPN 3 HD,http://138.59.227.20:8000/play/a09a/index.m3u8
playlist 138.m3u8,ESPN 4 HD,http://138.59.227.20:8000/play/a084/index.m3u8
playlist 138.m3u8,ESPN HD,http://138.59.227.20:8000/play/a099/index.m3u8
playlist 138.m3u8,ESPN Premium HD,http://138.59.227.20:8000/play/a086/index.m3u8
playlist 138.m3u8,EWTN,http://138.59.227.20:8000/play/a0g0/index.m3u8
playlist 138.m3u8,EWTN HD,http://138.59.227.20:8000/play/a0fv/index.m3u8
playlist 138.m3u8,El Canal  de las Estrellas,http://138.59.227.20:8000/play/a07x/index.m3u8
